code,name,unit,price,category,page
5516,"REQUEIJÃO VIGOR SEM AMIDO 1,5 KG (CX 4 BIS)",BIS,44.1,Laticínios,67
6747,RICOTA FRESCA BANDEIRA (PÇ 400 G),KG,15.96,Laticínios,67
586,RICOTA FRESCA CORONATA 520 G (CX 16 PÇ),KG,15.3,Laticínios,67
5404,RICOTA FRESCA YEMA PÇ 400 G (CX 24 PÇ),KG,14.44,Laticínios,67
8747,ROLO PLÁSTICO FILME PVC 28 CM X 15 M UTILFILME (CX 25 UN),UN,3.63,Outros,67
3717,ROSBEEF PIGBEEF CERATTI 3 KG (CX 1 PÇ),PÇ,237.93,Outros,67
8446,RUM BACARDÍ BIG APPLE 700 ML (CX 12 UN),UN,35.15,Bebidas Alcoólicas,67
1531,RUM BACARDÍ CARTA BLANCA SUPERIOR 980 ML (CX 12 UN),UN,36.97,Bebidas Alcoólicas,67
1532,RUM BACARDÍ CARTA ORO SUPERIOR 980 ML (CX 12 UN),UN,35.15,Bebidas Alcoólicas,67
3103,RUM MONTILLA CARTA BRANCA 1 L (CX 12 UN),UN,25.69,Bebidas Alcoólicas,67
1685,RUM MONTILLA CARTA OURO 1 L (CX 12 UN),UN,25.69,Bebidas Alcoólicas,67
920,SABÃO EM BARRA NEUTRO YPÊ PCT 5 UN 180 G (CX 12 PCT),PCT,17.33,Outros,67
5517,SABÃO EM PÓ PRIMAVERA TIXAN YPÊ UN 800 G (CX 24 UN),UN,18.93,Outros,67
41,SACO DE PANO 34 X 52 CM (PCT 6 UN),PCT,20.54,Outros,67
450,SACO PARA LIXO PRETO 90 X 90 CM 100 L (FDO 100 UN),FD,75.53,Outros,67
6908,SAGU DE MANDIOCA PQ 500 G (FDO 12 PCT),PCT,7.91,Hortifruti e Vegetais,67
8964,SAL DE PARRILLA PARA CHURRASCO LEBRE 1 KG (CX 10 PCT),FD,59.11,Outros,67
929,SAL GROSSO PARA CHURRASCO CISNE 1 KG (FDO 10 PCT),FD,39.24,Outros,67
8966,"SAL GROSSO PARA CHURRASCO LEBRE 1,1 KG (CX 12 PT)",PT,15.55,Outros,67
795,SAL GROSSO PARA CHURRASCO MASTER 1 KG (FDO 10 PCT),FD,15.33,Outros,67
850,SAL REFINADO IODADO CISNE 1 KG (FDO 10 PCT),FD,37.41,Outros,67
438,SAL REFINADO IODADO LEBRE 1 KG (FDO 10 PCT),FD,25.96,Outros,67
9683,SAL REFINADO IODADO MARFIM 1 KG (FDO 10 PCT),FD,20.22,Outros,68
5158,SAL REFINADO IODADO MASTER 1 KG (FDO 10 PCT),FD,15.33,Outros,68
3117,SAL SACHÊ REFINADO IODADO CISNE 1 G (CX 1000 UN),CX,25.66,Outros,68
9128,SAL SACHÊ REFINADO IODADO E GROSSO CISNE 1 G (CX 1000 UN),CX,24.5,Outros,68
7637,"SAL SACHÊ REFINADO IODADO LEBRE 0,8 G (CX 1000 UN)",CX,15.74,Outros,68
5541,"SAL SACHÊ REFINADO IODADO LEBRE BOM SABOR 0,8 G (CX 2000 UN)",CX,28.59,Outros,68
6816,SALAME HAMBURGUÊS FATIADO DEFUMADO CERATTI 100 G (CX 18 PCT),PCT,12.91,Frios e Embutidos,68
9590,SALAME ITALIANO BORELLA 300 G (CX 3 KG),KG,50.44,Frios e Embutidos,68
3025,SALAME ITALIANO DEFUMADO AURORA 600 G (CX 5 KG),KG,82.79,Frios e Embutidos,68
6815,SALAME ITALIANO FATIADO DEFUMADO CERATTI 100 G (CX 18 PCT),PCT,12.91,Frios e Embutidos,68
3769,SALAME ITALIANO SADIA 600 G (CX 6 KG),KG,84.07,Frios e Embutidos,68
1413,"SALAME ITALIANO SEARA GOURMET 675 G (CX 5,4 KG)",KG,68.19,Frios e Embutidos,68
1048,SALSA FLOCOS DESIDRATADA BRASILSECO 250 G (FDO 20 PCT),PCT,8.97,Outros,68
6480,SALSICHA CONGELADA HOT DOG AURORA 3 KG (CX 6 PCT),PCT,34.17,Congelados,68
3111,SALSICHA CONGELADA HOT DOG PERDIGÃO 5 KG (CX 4 PCT),PCT,61.18,Congelados,68
4446,SALSICHA CONGELADA HOT DOG SADIA 3 KG (CX 4 PCT),PCT,34.43,Congelados,68
5740,SALSICHA CONGELADA HOT DOG SEARA 5 KG (CX 4 PCT),PCT,43.59,Congelados,68
9150,"SALSICHA RESFRIADA HOT DOG BRASA 2,5 KG (CX 6 PCT)",PCT,26.55,Outros,68
4447,SAQUÊ SECO AZUMA KIRIN 600 ML (CX 12 UN),UN,14.17,Outros,68
1570,SAQUÊ SECO DOURADO AZUMA KIRIN 740 ML (CX 12 UN),UN,29.31,Outros,68
4989,SAQUÊ SECO DOURADO SAGAE 750 ML (CX 12 UN),UN,14.79,Outros,68
4696,SAQUÊ SECO SENSHI 720 ML (CX 6 UN),UN,14.24,Outros,68
1571,SAQUÊ SECO SOFT AZUMA KIRIN 740 ML (CX 12 UN),UN,22.41,Outros,68
4098,SARDINHAS EM ÓLEO COQUEIRO 125 G (CX 54 LT),CX,291.67,Outros,68
1354,SARDINHAS EM ÓLEO GOMES DA COSTA 125 G (CX 50 LT),CX,276.08,Outros,68
4436,SARDINHAS EM ÓLEO PESCADOR 125 G (CX 54 LT),CX,274.33,Outros,68
1198,SCHWEPPES CITRUS LATA 350 ML (PCT 6 LT),PCT,24.96,Outros,68
3515,SCHWEPPES CITRUS LEVE EM AÇÚCARES LATA 350 ML (PCT 6 LT),PCT,24.96,Açúcares e Adoçantes,68
9160,"SCHWEPPES CITRUS PET 1,5 L (PCT 6 UN)",PCT,52.04,Outros,69
5723,SELETA DE LEGUMES BONARE GOIÁS VERDE 170 G (CX 24 LT),CX,81.31,Outros,69
9171,"SELETA DE LEGUMES CONGELADA ATIGEL 2,5 KG (CX 4 PCT)",CX,104.91,Congelados,69
7719,SELETA DE LEGUMES CONGELADA GRANO 2 KG (CX 5 PCT),CX,183.43,Congelados,69
7720,"SELETA DE LEGUMES CONGELADA PRATIGEL 1,02 KG (CX 12 PCT)",CX,139.66,Congelados,69
3076,"SOBRECOXAS DE FRANGO CONGELADAS COM OSSO FRIATO 1,5 KG (CX 13 PCT)",CX,196.16,Aves,69
951,SODA ANTARCTICA LIMONADA LATA 350 ML (PCT 12 LT),PCT,39.0,Outros,69
3333,SODA ANTARCTICA LIMONADA PET 2 L (PCT 6 UN),PCT,54.58,Outros,69
3509,SODA ANTARCTICA LIMONADA ZERO AÇÚCARES LATA 350 ML (PCT 12 LT),PCT,39.0,Açúcares e Adoçantes,69
3978,SPRITE LATA 350 ML (PCT 6 UN),PCT,22.18,Outros,69
5388,SPRITE LEMON FRESH PET 510 ML (PCT 12 UN),PCT,37.8,Outros,69
14,SPRITE PET 2 L (PCT 6 UN),PCT,53.78,Outros,69
910,STEAK DE FRANGO EMPANADO CONGELADO PERDIGÃO 100 G (CX 45 UN),CX,83.71,Aves,69
270,STEAK DE FRANGO EMPANADO CONGELADO REZENDE 100 G (CX 72 UN),CX,107.09,Aves,69
8703,STEAK DE FRANGO EMPANADO CONGELADO SADIA 100 G (CX 45 UN),CX,83.69,Aves,69
1546,STEINHAEGER BECOSA 980 ML (CX 12 UN),UN,22.89,Outros,69
977,SUCO DA FRUTA ABACAXI 500 ML (CX 12 UN),PCT,77.47,Hortifruti e Vegetais,69
6382,SUCO DE TOMATE INTEGRAL SUPERBOM 1 L (CX 6 UN),UN,18.92,Outros,69
6755,"SUCO DE UVA TINTO INTEGRAL TETRA PACK AURORA 1,5 L (CX 6 UN)",CX,121.12,Outros,69
9656,SUCO DE UVA TINTO INTEGRAL TETRA PACK NOVA ALIANÇA 1 L (CX 12 UN),CX,97.3,Outros,69
4257,SUCO DEL VALLE ABACAXI TETRA PACK 1 L (CX 6 UN),CX,60.6,Hortifruti e Vegetais,69
4681,SUCO DEL VALLE CAJU SEM ADIÇÃO DE AÇÚCAR TETRA PACK 1 L (CX 6 UN),CX,54.29,Açúcares e Adoçantes,69
4119,SUCO DEL VALLE GOIABA SEM ADIÇÃO DE AÇÚCAR LATA 290 ML (PCT 6 LT),PCT,23.42,Açúcares e Adoçantes,69
4254,SUCO DEL VALLE LARANJA TETRA PACK 1 L (CX 6 UN),CX,61.05,Outros,69
4117,SUCO DEL VALLE MANGA LATA 290 ML (PCT 6 LT),PCT,23.42,Outros,69
4085,SUCO DEL VALLE MARACUJÁ LATA 290 ML (PCT 6 LT),PCT,23.42,Outros,69
4256,SUCO DEL VALLE MARACUJÁ TETRA PACK 1 L (CX 6 UN),CX,61.05,Outros,69
4118,SUCO DEL VALLE PÊSSEGO LATA 290 ML (PCT 6 LT),PCT,23.42,Outros,69
4258,SUCO DEL VALLE PÊSSEGO TETRA PACK 1 L (CX 6 UN),CX,61.05,Outros,70
4110,SUCO DEL VALLE UVA LATA 290 ML (PCT 6 LT),PCT,23.42,Outros,70
3163,SUCO DEL VALLE UVA TETRA PACK 1 L (CX 6 UN),CX,61.05,Outros,70
5026,SUCO GUARAVITON AÇAÍ 500 ML (PCT 12 UN),PCT,34.69,Outros,70
